itemcode,Year,Month,Country,Sante$_?,Circulaire_?,Type_Commande,Winter,Summer,Stock_Estimated2,Qty
CB00001,2014,1,Canada,YES,Normal,REPEAT,-9.538765182,17.99752066,0.02,2
CB00001,2014,2,Canada,YES,Normal,REPEAT,-9.538765182,17.99752066,0.03,3
CB00001,2014,3,Canada,YES,Normal,REPEAT,-9.538765182,17.99752066,0,0
CB00001,2014,4,Canada,YES,Normal,REPEAT,-9.538765182,17.99752066,0.29,29
CB00001,2014,5,Canada,YES,Normal,BOOKING,-9.538765182,17.99752066,506.4,1688
CB00001,2014,6,Canada,YES,Normal,BOOKING,-9.538765182,17.99752066,7.49999999999999,25
CB00001,2014,7,Canada,YES,Normal,BOOKING,-9.538765182,17.99752066,8.1,27
CB00001,2014,8,Canada,YES,Normal,BOOKING,-9.538765182,17.99752066,23.1,77
CB00001,2014,9,Canada,YES,Normal,BOOKING,-9.538765182,17.99752066,26.6999999999999,89
CB00001,2014,10,Canada,YES,Normal,BOOKING,-9.538765182,17.99752066,12.3,41
CB00001,2014,11,Canada,YES,Normal,REPEAT,-9.538765182,17.99752066,0.1,10
CB00001,2014,12,Canada,YES,Normal,REPEAT,-9.538765182,17.99752066,0,0
CB00001,2015,1,Canada,YES,Normal,REPEAT,-6.7039401755,20.835882045,0,0
CB00001,2015,2,Canada,YES,Normal,REPEAT,-6.7039401755,20.835882045,0,0
CB00001,2015,3,Canada,YES,Normal,REPEAT,-6.7039401755,20.835882045,0,0
CB00001,2015,4,Canada,YES,Normal,REPEAT,-6.7039401755,20.835882045,1.17,117
CB00001,2015,5,Canada,YES,Normal,BOOKING,-6.7039401755,20.835882045,297.9,993
CB00001,2015,6,Canada,YES,Normal,BOOKING,-6.7039401755,20.835882045,132,440
CB00001,2015,7,Canada,YES,Normal,BOOKING,-6.7039401755,20.835882045,6,20
CB00001,2015,8,Canada,YES,Normal,BOOKING,-6.7039401755,20.835882045,0.899999999999999,3
CB00001,2015,9,Canada,YES,Normal,BOOKING,-6.7039401755,20.835882045,0,0
CB00001,2015,10,Canada,YES,Normal,BOOKING,-6.7039401755,20.835882045,0,0
CB00001,2015,11,Canada,YES,Normal,REPEAT,-6.7039401755,20.835882045,0,0
CB00001,2015,12,Canada,YES,Normal,REPEAT,-6.7039401755,20.835882045,1.4,140
CB00001,2016,1,Canada,YES,Normal,REPEAT,-5.385864425,17.66981858,0,0
CB00001,2016,2,Canada,YES,Normal,REPEAT,-5.385864425,17.66981858,0,0
CB00001,2016,3,Canada,YES,Normal,REPEAT,-5.385864425,17.66981858,0,0
CB00001,2016,4,Canada,YES,Normal,REPEAT,-5.385864425,17.66981858,5.4,540
CB00001,2016,5,Canada,YES,Normal,BOOKING,-5.385864425,17.66981858,193.5,645
CB00001,2016,6,Canada,YES,Normal,BOOKING,-5.385864425,17.66981858,0,0
CB00001,2016,7,Canada,YES,Normal,BOOKING,-5.385864425,17.66981858,0.3,1
CB00001,2016,8,Canada,YES,Normal,BOOKING,-5.385864425,17.66981858,1.2,4
CB00001,2016,9,Canada,YES,Normal,BOOKING,-5.385864425,17.66981858,4.5,15
CB00001,2016,10,Canada,YES,Normal,BOOKING,-5.385864425,17.66981858,1.2,4
CB00001,2016,11,Canada,YES,Normal,REPEAT,-5.385864425,17.66981858,0.11,11
CB00001,2016,12,Canada,YES,Normal,REPEAT,-5.385864425,17.66981858,0.04,4
CB00001,2017,1,Canada,YES,Normal,REPEAT,-6.721400778,17.58809117,1.21,121
CB00001,2017,2,Canada,YES,Normal,REPEAT,-6.721400778,17.58809117,0.04,4
CB00001,2017,3,Canada,YES,Normal,REPEAT,-6.721400778,17.58809117,0,0
CB00001,2017,4,Canada,YES,Normal,REPEAT,-6.721400778,17.58809117,7.73,773
CB00001,2017,5,Canada,YES,Normal,BOOKING,-6.721400778,17.58809117,0.6,2
